CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2023-02-01,0.0,0.0,10933162.98,0.0,2092398.3199999998,7409953.100000001,1785338.7099999995,16116042.1,0.0,3330317.69,1511857709.0999997,0.0,0.723160844713915,0.49012238753679427,0.11808907010586343,1.0659761168657724,0.13839915670672426,0.2202798365186443,0.0,0.0,0.0,2.7560274124477133
2023-03-01,0.0,0.0,6210655.0,30455869.78,1421644.3499999999,9377461.089999998,2790974.1500000004,739546.3500000002,0.0,2603578.91,1786076120.399993,0.0,0.3477262211315562,0.5250314352727536,0.15626288925328444,0.041406205567228474,0.07959595527662178,0.14577088178173095,0.0,0.0,1.7051831908026065,3.0009767790857818
2023-04-01,0.0,0.0,11906324.16,0.0,2827806.2300000004,11121408.349999998,2591249.4000000004,1163262.2999999998,0.0,3662764.4,1569038874.0799959,0.0,0.7588291378045849,0.7088038756541977,0.1651488336462904,0.07413852640726173,0.18022537724937385,0.23344000333628814,0.0,0.0,0.0,2.1205857540979967
2023-05-01,0.0,0.0,41441036.59,0.0,2084638.2299999997,10769241.820000002,1775326.1500000001,487207.91000000003,0.0,875259.3399999999,1758354669.1399965,0.0,2.3568076064124557,0.6124612974279637,0.10096519099120681,0.027708170515922777,0.11855618588140623,0.04977717836800725,0.0,0.0,0.0,3.266275629596962
2023-06-01,0.0,889368.3,596079.96,0.0,2271965.69,8512888.19,17625780.209999997,3126610.42,0.0,1911849.16,1586216492.6899965,0.05606853188695311,0.037578726658498776,0.5366788347764155,1.1111837691278315,0.19711120357207454,0.14323175307218441,0.12052889178814281,0.0,0.0,0.0,2.2023817108821007
2023-07-01,0.0,1168958.65,710506.24,0.0,19378707.08,9593165.059999999,2590970.4900000007,5543044.919999999,0.0,2909099.9300000006,1540875399.029998,0.07586328204966314,0.046110557702931286,0.6225788967777035,0.16814925409485101,0.3597334945764869,1.2576427070092207,0.1887952738963396,0.0,0.0,0.0,2.718873466107196
2023-08-01,0.0,0.0,0.0,0.0,1121675.32,13112345.17,6673278.05,6090440.220000001,0.0,1285052.42,1651386328.3799975,0.0,0.0,0.7940204508573806,0.40410156819854837,0.3688077172090128,0.06792325337344644,0.07781658343148756,0.0,0.0,0.0,1.712669573069876
2023-09-01,0.0,100061755.68,6914612.58,0.0,1735053.11,15745064.450000007,2322012.57,1059252.73,0.0,4370121.3,1654083948.460003,6.049375896136362,0.4180327477597308,0.9518902873496287,0.14038057573570292,0.06403863183523381,0.10489510593554709,0.26420190487119477,0.0,0.0,0.0,7.9928151496234
2023-10-01,1006545.88,0.0,0.0,1691569.38,840860.75,13046854.249999998,5250093.89,3651093.0600000005,0.0,3359250.119999999,1763283868.5699973,0.0,0.0,0.7399179725145927,0.29774524587795187,0.20706212567809598,0.04768720255360405,0.19051102206953846,0.0,0.05708359827599948,0.09593290168144299,1.6359400686512253
2023-11-01,976150.68,0.0,0.0,37025986.8,379567.98999999993,13619555.260000004,2248170.8800000004,1494627.02,0.0,2447124.1000000006,1604289113.119997,0.0,0.0,0.8489464366876429,0.14013502065271713,0.09316444322764693,0.023659575253354548,0.15253635270520977,0.0,0.060846307066286645,2.3079372974109646,3.627225433003823
2023-12-01,12846848.6,108654424.08,0.0,0.0,3803727.1100000003,11582704.17,3872186.3900000006,28600.3,0.0,749388.4900000001,1715724769.999995,6.332858625104556,0.0,0.6750910386401914,0.22568808574116536,0.001666951512275485,0.2216979772344262,0.043677663405186036,0.0,0.7487709465195888,0.0,8.24945128815739
